State,District,Market,Commodity,Variety,Grade,Arrival_Date,Min_Price,Max_Price,Modal_Price,Commodity_Code
0,0,0,0,0,0,0,0.8305084745762712,0.6563573883161512,0.7058823529411764,0.3333333333333333
0,0,0,1,1,0,0,0.8135593220338984,0.6426116838487973,0.6911764705882353,0.6666666666666666
0,0,0,2,3,0,0,1.0,1.0,1.0,0.8333333333333334
0,0,0,3,2,0,0,0.1533898305084746,0.5058419243986255,0.4889705882352941,1.0
0,0,0,4,4,0,0,0.0,0.0,0.0,0.0
0,0,0,0,4,0,0,0.0,0.0833333333333333,0.0369685767097967,0.0
0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
0,0,0,0,2,0,0,0.1386962552011096,0.1666666666666666,0.0924214417744916,0.0
0,0,0,1,1,0,0,0.4576976421636616,1.0,0.6839186691312384,0.01010101010101
0,0,0,2,3,0,0,1.0,0.8683333333333334,1.0,1.0000000000000002
0,0,0,3,3,0,0,1.0,1.0,1.0,0.3095238095238095
0,0,0,4,4,0,0,0.5163002274450341,0.4611486486486487,0.4932486100079428,0.0
1,1,1,0,2,0,1,0.2350265352539802,0.4434121621621621,0.3375694996028594,0.8095238095238094
1,1,1,1,1,0,1,0.0,0.0,0.0,0.7857142857142857
1,1,1,2,0,0,1,0.3866565579984837,0.6545608108108109,0.5162827640984908,1.0
0,0,0,2,0,1,0,0.6428571428571429,0.5639534883720929,0.5858585858585859,0.2777777777777777
0,0,0,3,1,1,0,0.3831168831168831,0.1569767441860465,0.2222222222222222,0.0555555555555555
0,0,0,4,2,2,0,0.0,0.0,0.0,0.2222222222222221
0,0,0,0,3,1,1,1.0,1.0,1.0,0.0
0,0,0,1,4,0,1,0.1883116883116883,0.1453488372093023,0.1515151515151515,1.0
0,0,0,0,1,0,0,0.0,0.0,0.0,0.1458333333333332
0,0,0,1,1,1,0,0.1059602649006622,0.1750841750841751,0.1596638655462184,0.9166666666666664
0,0,0,2,0,0,0,1.0,1.0,1.0,0.3333333333333332
0,0,0,3,1,0,0,0.6026490066225166,0.1470258136924803,0.2605042016806723,0.0
0,0,0,4,1,0,0,0.8675496688741722,0.3041526374859708,0.4453781512605042,1.0
0,0,0,0,0,0,0,1.0,0.743975903614458,0.9574468085106382,0.9272727272727272
0,0,0,1,0,1,0,0.7,1.0000000000000002,1.0,0.9818181818181816
0,0,0,2,1,0,0,0.0,0.072289156626506,0.0,0.0
0,0,0,3,0,0,0,0.0999999999999999,0.0963855421686747,0.1276595744680851,0.0181818181818181
0,0,0,4,0,0,0,0.0,0.0,0.0,1.0
0,0,0,0,1,0,0,0.2916666666666666,0.237037037037037,0.265625,0.0
0,0,0,1,2,0,0,1.0,1.0,1.0,0.0666666666666666
0,0,0,2,0,0,0,0.0,0.0,0.0,1.0
0,0,0,0,1,0,1,0.9166666666666666,0.925925925925926,0.921875,0.0
0,0,0,1,2,0,1,1.0,1.0,1.0,0.0666666666666666
0,1,1,4,0,0,0,0.0,0.0,0.0,0.2289156626506024
1,0,0,0,2,0,1,1.0,1.0,1.0,0.2530120481927711
1,0,0,1,2,0,1,0.0277777777777777,0.0329670329670329,0.0318627450980392,0.2771084337349397
1,0,0,2,2,0,1,0.1666666666666666,0.2307692307692307,0.1911764705882353,1.0000000000000002
1,0,0,3,1,0,1,0.0277777777777777,0.0549450549450549,0.0441176470588235,0.0
1,0,0,2,2,0,0,0.2746113989637305,0.2920353982300884,0.3396226415094339,0.5250000000000001
1,0,0,3,0,0,0,0.689119170984456,0.902654867256637,0.7169811320754718,0.0
1,0,0,4,2,0,0,1.0,1.0,1.0,0.25
0,1,1,0,3,0,1,0.0,0.0,0.0,0.8
0,1,1,1,1,0,1,0.3575129533678757,0.3805309734513274,0.320754716981132,1.0
0,1,0,3,4,0,0,0.0,0.0119789171058936,0.0,1.0
1,0,1,0,3,0,0,1.0,1.0,1.0,0.25
1,0,1,1,0,0,0,0.6719223771983021,0.6281744130330619,0.6386161757830762,0.35
1,0,1,2,2,0,0,0.0806549423893268,0.0,0.0701262272089761,0.0999999999999999
1,0,1,4,1,0,0,0.1904184354154033,0.0905606133205558,0.1542776998597475,0.0
1,0,1,3,0,0,0,0.1825047199496539,0.1359773371104816,0.1399253731343283,0.0
1,0,1,4,1,0,0,0.8445563247325363,0.8356940509915015,0.8171641791044776,0.3478260869565217
0,1,0,0,3,0,1,0.7136563876651983,1.0,1.0,0.217391304347826
0,1,0,1,4,0,1,0.0,0.0,0.0,1.0
0,1,0,2,2,0,1,1.0,0.7436260623229463,0.7318097014925373,0.2608695652173912
0,1,0,2,4,0,0,0.3543766578249336,0.4250258531540848,0.418839808408728,0.2857142857142857
0,1,0,3,2,0,0,0.0,0.0,0.0,0.0
0,1,0,4,1,0,0,0.1289124668435013,0.0713547052740434,0.0952634379989356,1.0
1,0,1,0,0,0,0,0.0684350132625994,0.0108583247156152,0.0319318786588611,0.9285714285714286
1,0,1,1,3,0,0,0.9999999999999998,1.0,1.0,0.2142857142857142
0,0,0,0,4,0,0,1.0,1.0,1.0,1.0
0,0,0,1,0,0,0,0.4805260495700556,0.5008880994671403,0.5069188191881919,0.175
0,0,0,2,1,0,0,0.0,0.0,0.0,0.0
0,0,0,2,3,0,0,0.0323722812341932,0.0248667850799289,0.0313653136531365,0.0
0,0,0,3,2,0,0,0.5897824987354577,0.6669626998223801,0.683579335793358,0.2
0,0,0,1,4,0,0,0.0787201625190451,0.09958071278826,0.0743405275779376,0.7714285714285715
0,0,0,2,0,0,0,0.1422041645505332,0.09958071278826,0.1342925659472422,1.0
